2026-01-21T21:31:26+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"Backtracking_Sorted_desc_better_prune\near-half\test0.txt",64000,11.284,11.4746,us,,,,,,12,21
"Backtracking_Sorted_desc_best_prune\near-half\test0.txt",56000,11.7142,11.4397,us,,,,,,12,21
"Backtracking_Sorted_desc_better_prune\near-half\test1.txt",89600,7.76239,7.32422,us,,,,,,9,14
"Backtracking_Sorted_desc_best_prune\near-half\test1.txt",89600,7.91281,7.84738,us,,,,,,9,14
"Backtracking_Sorted_desc_better_prune\near-half\test2.txt",89600,7.78477,7.67299,us,,,,,,9,15
"Backtracking_Sorted_desc_best_prune\near-half\test2.txt",89600,7.77843,7.67299,us,,,,,,9,15
"Backtracking_Sorted_desc_better_prune\near-half\test5.txt",112000,6.29551,6.2779,us,,,,,,7,13
"Backtracking_Sorted_desc_best_prune\near-half\test5.txt",112000,6.35653,6.2779,us,,,,,,7,13
"Backtracking_Sorted_desc_better_prune\near-half\test6.txt",89600,7.24028,6.97545,us,,,,,,8,15
"Backtracking_Sorted_desc_best_prune\near-half\test6.txt",89600,7.78574,7.67299,us,,,,,,8,15
"Backtracking_Sorted_desc_better_prune\near-half\test7.txt",179200,3.77396,3.66211,us,,,,,,5,7
"Backtracking_Sorted_desc_best_prune\near-half\test7.txt",194783,3.95984,3.85044,us,,,,,,5,7
"Backtracking_Sorted_desc_better_prune\near-half\test8.txt",144516,4.89624,4.54102,us,,,,,,6,9
"Backtracking_Sorted_desc_best_prune\near-half\test8.txt",112000,5.36183,5.02232,us,,,,,,6,9
"Backtracking_Sorted_desc_better_prune\near-half\test9.txt",165926,3.98361,3.95508,us,,,,,,5,8
"Backtracking_Sorted_desc_best_prune\near-half\test9.txt",165926,7.43452,7.25097,us,,,,,,5,8
"Backtracking_Sorted_desc_better_prune\near-half\test12.txt",64000,9.48335,9.0332,us,,,,,,5,7
"Backtracking_Sorted_desc_best_prune\near-half\test12.txt",64000,9.53135,9.27734,us,,,,,,5,7
"Backtracking_Sorted_desc_better_prune\near-half\test15.txt",112000,7.7031,7.25446,us,,,,,,3,6
"Backtracking_Sorted_desc_best_prune\near-half\test15.txt",89600,7.73501,7.32422,us,,,,,,3,6
"Backtracking_Sorted_desc_better_prune\near-half\test16.txt",112000,7.79235,7.39397,us,,,,,,3,6
"Backtracking_Sorted_desc_best_prune\near-half\test16.txt",74667,8.76362,7.32419,us,,,,,,3,6
"Backtracking_Sorted_desc_better_prune\near-half\test18.txt",39645,17.6785,17.7355,us,,,,,,10,17
"Backtracking_Sorted_desc_best_prune\near-half\test18.txt",40727,19.0626,18.799,us,,,,,,10,17
"Backtracking_Sorted_desc_better_prune\near-half\test20.txt",89600,9.94163,9.76562,us,,,,,,10,18
"Backtracking_Sorted_desc_best_prune\near-half\test20.txt",74667,10.1673,10.0446,us,,,,,,10,18
"Backtracking_Sorted_desc_better_prune\near-half\test22.txt",144516,8.11162,6.37905,us,,,,,,4,6
"Backtracking_Sorted_desc_best_prune\near-half\test22.txt",112000,11.182,8.37054,us,,,,,,4,6
"Backtracking_Sorted_desc_better_prune\near-half\test23.txt",44800,18.4503,16.3923,us,,,,,,8,14
"Backtracking_Sorted_desc_best_prune\near-half\test23.txt",37333,18.103,17.9968,us,,,,,,8,14
"Backtracking_Sorted_desc_better_prune\near-half\test24.txt",23579,30.682,30.4826,us,,,,,,10,16
"Backtracking_Sorted_desc_best_prune\near-half\test24.txt",24889,32.2234,31.3894,us,,,,,,10,16
"Backtracking_Sorted_desc_better_prune\random\test2.txt",29867,36.27,24.5882,us,,,,,,10,18
"Backtracking_Sorted_desc_best_prune\random\test2.txt",24889,36.3835,28.2504,us,,,,,,10,18
"Backtracking_Sorted_desc_better_prune\random\test3.txt",56000,21.5595,16.4621,us,,,,,,7,12
"Backtracking_Sorted_desc_best_prune\random\test3.txt",49778,19.3243,14.753,us,,,,,,7,12
"Backtracking_Sorted_desc_better_prune\random\test4.txt",44800,21.4239,17.4386,us,,,,,,7,13
"Backtracking_Sorted_desc_best_prune\random\test4.txt",37333,19.9476,18.4153,us,,,,,,7,13
"Backtracking_Sorted_desc_better_prune\random\test5.txt",22400,38.9589,27.2042,us,,,,,,12,20
"Backtracking_Sorted_desc_best_prune\random\test5.txt",34462,23.9026,21.3097,us,,,,,,12,20
"Backtracking_Sorted_desc_better_prune\random\test6.txt",203636,3.23513,3.0692,us,,,,,,4,6
"Backtracking_Sorted_desc_best_prune\random\test6.txt",213333,3.38913,3.22266,us,,,,,,4,6
"Backtracking_Sorted_desc_better_prune\random\test8.txt",74667,7.58253,7.32419,us,,,,,,7,15
"Backtracking_Sorted_desc_best_prune\random\test8.txt",112000,7.72888,7.53348,us,,,,,,7,15
"Backtracking_Sorted_desc_better_prune\random\test9.txt",112000,7.13881,7.11496,us,,,,,,8,14
"Backtracking_Sorted_desc_best_prune\random\test9.txt",89600,7.27139,6.97545,us,,,,,,8,14
"Backtracking_Sorted_desc_better_prune\random\test13.txt",64000,10.1877,10.2539,us,,,,,,8,19
"Backtracking_Sorted_desc_best_prune\random\test13.txt",74667,10.3653,10.0446,us,,,,,,8,19
"Backtracking_Sorted_desc_better_prune\random\test14.txt",112000,6.5122,6.13839,us,,,,,,9,12
"Backtracking_Sorted_desc_best_prune\random\test14.txt",89600,6.57176,6.45229,us,,,,,,9,12
"Backtracking_Sorted_desc_better_prune\random\test18.txt",74667,9.38372,8.99829,us,,,,,,9,18
"Backtracking_Sorted_desc_best_prune\random\test18.txt",74667,9.6784,9.62607,us,,,,,,9,18
"Backtracking_Sorted_desc_better_prune\random\test19.txt",49778,16.8018,16.9503,us,,,,,,9,13
"Backtracking_Sorted_desc_best_prune\random\test19.txt",40727,16.2136,15.3461,us,,,,,,9,13
"Backtracking_Sorted_desc_better_prune\random\test22.txt",100000,5.85523,5.78125,us,,,,,,7,11
"Backtracking_Sorted_desc_best_prune\random\test22.txt",112000,6.0992,6.13839,us,,,,,,7,11
"Backtracking_Sorted_desc_better_prune\random\test23.txt",74667,10.6975,10.6724,us,,,,,,11,20
"Backtracking_Sorted_desc_best_prune\random\test23.txt",74667,11.391,11.0909,us,,,,,,11,20
"Backtracking_Sorted_desc_better_prune\random\test24.txt",64000,10.4474,10.0098,us,,,,,,9,17
