2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFit\near-half\test0.txt",154483,4.42472,4.24804,us,,,,,,14,21
"FirstFitDecreasing\near-half\test0.txt",112000,5.38707,5.02232,us,,,,,,12,21
"BestFit\near-half\test0.txt",100000,6.13121,5.9375,us,,,,,,13,21
"BestFitDecreasing\near-half\test0.txt",89600,7.45444,6.97545,us,,,,,,12,21
"FirstFit\near-half\test1.txt",248889,3.09686,3.01339,us,,,,,,10,14
"FirstFitDecreasing\near-half\test1.txt",194783,3.5678,3.36913,us,,,,,,9,14
"BestFit\near-half\test1.txt",186667,4.20029,3.85044,us,,,,,,9,14
"BestFitDecreasing\near-half\test1.txt",160000,4.52096,4.49219,us,,,,,,9,14
"FirstFit\near-half\test2.txt",263529,3.15884,3.08315,us,,,,,,10,15
"FirstFitDecreasing\near-half\test2.txt",194783,3.7977,3.60979,us,,,,,,9,15
"BestFit\near-half\test2.txt",179200,3.96264,3.66211,us,,,,,,10,15
"BestFitDecreasing\near-half\test2.txt",144516,5.1483,5.08162,us,,,,,,9,15
"FirstFit\near-half\test3.txt",112000,11.3407,9.62612,us,,,,,,17,27
"FirstFitDecreasing\near-half\test3.txt",40727,19.7888,16.1134,us,,,,,,16,27
"BestFit\near-half\test3.txt",34462,23.6091,19.9495,us,,,,,,17,27
"BestFitDecreasing\near-half\test3.txt",28000,23.9213,22.8795,us,,,,,,16,27
"FirstFit\near-half\test4.txt",49778,13.2456,12.8696,us,,,,,,14,24
"FirstFitDecreasing\near-half\test4.txt",87263,5.8128,5.72981,us,,,,,,13,24
"BestFit\near-half\test4.txt",89600,7.32521,6.97545,us,,,,,,14,24
