2026-01-21T20:17:36+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFit\near-half\test0.txt",160000,4.63652,4.39453,us,,,,,,14,21
"FirstFitDecreasing\near-half\test0.txt",112000,5.6109,5.58036,us,,,,,,12,21
"BestFit\near-half\test0.txt",112000,6.1294,5.99888,us,,,,,,13,21
"BestFitDecreasing\near-half\test0.txt",112000,8.29988,7.8125,us,,,,,,12,21
"Backtracking_Unsoreted_no_prune\near-half\test0.txt",1,4.50112e+06,4.20312e+06,us,,,,,,12,21
"Backtracking_Unsoreted_better_prune\near-half\test0.txt",4,190677,183594,us,,,,,,12,21
"Backtracking_Unsoreted_best_prune\near-half\test0.txt",3,196061,192708,us,,,,,,12,21
"Backtracking_Soreted_asc_no_prune\near-half\test0.txt",1,2.51746e+07,2.36875e+07,us,,,,,,12,21
"Backtracking_Soreted_asc_better_prune\near-half\test0.txt",1,5.90155e+06,5.85938e+06,us,,,,,,12,21
"Backtracking_Soreted_asc_best_prune\near-half\test0.txt",1,6.01451e+06,5.96875e+06,us,,,,,,12,21
"Backtracking_Soreted_desc_no_prune\near-half\test0.txt",1,538817,531250,us,,,,,,12,21
"Backtracking_Soreted_desc_better_prune\near-half\test0.txt",64000,10.9707,10.9863,us,,,,,,12,21
"Backtracking_Soreted_desc_best_prune\near-half\test0.txt",64000,11.2516,11.2305,us,,,,,,12,21
"FirstFit\near-half\test1.txt",235789,3.02888,3.04828,us,,,,,,10,14
"FirstFitDecreasing\near-half\test1.txt",194783,3.49805,3.44935,us,,,,,,9,14
"BestFit\near-half\test1.txt",186667,3.82955,3.85044,us,,,,,,9,14
"BestFitDecreasing\near-half\test1.txt",154483,4.45608,4.45033,us,,,,,,9,14
"Backtracking_Unsoreted_no_prune\near-half\test1.txt",2036,348.719,345.346,us,,,,,,9,14
"Backtracking_Unsoreted_better_prune\near-half\test1.txt",10000,51.6353,50,us,,,,,,9,14
"Backtracking_Unsoreted_best_prune\near-half\test1.txt",10000,53.0466,53.125,us,,,,,,9,14
"Backtracking_Soreted_asc_no_prune\near-half\test1.txt",320,2205.92,2197.27,us,,,,,,9,14
"Backtracking_Soreted_asc_better_prune\near-half\test1.txt",373,1756.04,1759.38,us,,,,,,9,14
"Backtracking_Soreted_asc_best_prune\near-half\test1.txt",373,1757.98,1759.38,us,,,,,,9,14
"Backtracking_Soreted_desc_no_prune\near-half\test1.txt",4480,154.852,153.46,us,,,,,,9,14
"Backtracking_Soreted_desc_better_prune\near-half\test1.txt",89600,7.57449,7.4986,us,,,,,,9,14
"Backtracking_Soreted_desc_best_prune\near-half\test1.txt",89600,7.6392,7.67299,us,,,,,,9,14
"FirstFit\near-half\test2.txt",224000,3.1096,3.13895,us,,,,,,10,15
"FirstFitDecreasing\near-half\test2.txt",179200,3.74725,3.66211,us,,,,,,9,15
"BestFit\near-half\test2.txt",186667,3.81341,3.76673,us,,,,,,10,15
"BestFitDecreasing\near-half\test2.txt",112000,4.83187,4.60379,us,,,,,,9,15
"Backtracking_Unsoreted_no_prune\near-half\test2.txt",112,7186.38,7114.96,us,,,,,,9,15
"Backtracking_Unsoreted_better_prune\near-half\test2.txt",560,1243.63,1255.58,us,,,,,,9,15
"Backtracking_Unsoreted_best_prune\near-half\test2.txt",560,1266.16,1255.58,us,,,,,,9,15
"Backtracking_Soreted_asc_no_prune\near-half\test2.txt",45,15076.4,14930.6,us,,,,,,9,15
"Backtracking_Soreted_asc_better_prune\near-half\test2.txt",64,10224,10009.8,us,,,,,,9,15
"Backtracking_Soreted_asc_best_prune\near-half\test2.txt",64,10398.2,10253.9,us,,,,,,9,15
"Backtracking_Soreted_desc_no_prune\near-half\test2.txt",640,1074.3,1074.22,us,,,,,,9,15
"Backtracking_Soreted_desc_better_prune\near-half\test2.txt",89600,7.57831,7.4986,us,,,,,,9,15
"Backtracking_Soreted_desc_best_prune\near-half\test2.txt",112000,7.70449,7.53348,us,,,,,,9,15
"FirstFit\near-half\test3.txt",112000,5.98791,5.99888,us,,,,,,17,27
"FirstFitDecreasing\near-half\test3.txt",89600,6.81972,6.62667,us,,,,,,16,27
"BestFit\near-half\test3.txt",74667,8.57088,8.57976,us,,,,,,17,27
"BestFitDecreasing\near-half\test3.txt",74667,10.2826,10.4631,us,,,,,,16,27
"FirstFit\near-half\test4.txt",154483,4.84139,4.75376,us,,,,,,14,24
"FirstFitDecreasing\near-half\test4.txt",112000,5.69853,5.71987,us,,,,,,13,24
"BestFit\near-half\test4.txt",112000,7.08532,6.97545,us,,,,,,14,24
